599.0, 401.0, -108.8, 108.8
668.0, 408.0, -54.4, 108.8
735.0, 417.0, 0.0, 108.8
794.0, 415.0, 54.4, 108.8
864.0, 406.0, 108.8, 108.8
603.0, 452.0, -108.8, 54.4
671.0, 456.0, -54.4, 54.4
734.0, 456.0, 0.0, 54.4
795.0, 456.0, 54.4, 54.4
861.0, 453.0, 108.8, 54.4
602.0, 496.0, -108.8, 0.0
674.0, 498.0, -54.4, 0.0
734.0, 500.0, 0.0, 0.0
794.0, 499.0, 54.4, 0.0
861.0, 500.0, 108.8, 0.0
603.0, 542.0, -108.8, -54.4
670.0, 539.0, -54.4, -54.4
733.0, 537.0, 0.0, -54.4
792.0, 538.0, 54.4, -54.4
860.0, 540.0, 108.8, -54.4
600.0, 595.0, -108.8, -108.8
670.0, 584.0, -54.4, -108.8
731.0, 583.0, 0.0, -108.8
794.0, 583.0, 54.4, -108.8
864.0, 594.0, 108.8, -108.8
