235.0, 187.0, -56.9, 56.9
279.0, 193.0, -28.5, 56.9
320.0, 194.0, 0.0, 56.9
360.0, 194.0, 28.5, 56.9
403.0, 187.0, 56.9, 56.9
237.0, 225.0, -56.9, 28.5
280.0, 228.0, -28.5, 28.5
318.0, 228.0, 0.0, 28.5
358.0, 229.0, 28.5, 28.5
402.0, 225.0, 56.9, 28.5
237.0, 259.0, -56.9, 0.0
279.0, 258.0, -28.5, 0.0
318.0, 258.0, 0.0, 0.0
358.0, 259.0, 28.5, 0.0
400.0, 260.0, 56.9, 0.0
237.0, 293.0, -56.9, -28.5
280.0, 289.0, -28.5, -28.5
319.0, 289.0, 0.0, -28.5
358.0, 291.0, 28.5, -28.5
402.0, 293.0, 56.9, -28.5
234.0, 329.0, -56.9, -56.9
278.0, 325.0, -28.5, -56.9
318.0, 323.0, 0.0, -56.9
358.0, 325.0, 28.5, -56.9
403.0, 330.0, 56.9, -56.9
