601.0, 405.0, -109.8, 109.8
671.0, 413.0, -54.9, 109.8
733.0, 415.0, 0.0, 109.8
792.0, 413.0, 54.9, 109.8
864.0, 406.0, 109.8, 109.8
605.0, 455.0, -109.8, 54.9
672.0, 458.0, -54.9, 54.9
733.0, 461.0, 0.0, 54.9
793.0, 460.0, 54.9, 54.9
858.0, 456.0, 109.8, 54.9
606.0, 499.0, -109.8, 0.0
672.0, 500.0, -54.9, 0.0
733.0, 500.0, 0.0, 0.0
792.0, 500.0, 54.9, 0.0
855.0, 500.0, 109.8, 0.0
604.0, 545.0, -109.8, -54.9
671.0, 541.0, -54.9, -54.9
733.0, 538.0, 0.0, -54.9
791.0, 541.0, 54.9, -54.9
858.0, 545.0, 109.8, -54.9
602.0, 594.0, -109.8, -109.8
671.0, 585.0, -54.9, -109.8
733.0, 582.0, 0.0, -109.8
795.0, 584.0, 54.9, -109.8
859.0, 592.0, 109.8, -109.8
