BSLB21071A004224296035
1
2,0.300000,0.300000,0.300000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
1,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,0.300000,0.300000,0.300000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
2,-1.000000,-1.000000,-1.000000,2.000000
