SLOT,LAYER,1H,2H,3H,4H,AX,AY,INNER_R,BX,BY,OUTER_R,C,JUMP
35,1-2,3.45,4.09,0.64,3.77,46.02,-8.19,0.08,48.78,-8.47,0.12,2.77,3.98
35,3-4,4.2,3.99,0.21,4.09,52.63,-9.49,0.17,55.53,-10.11,0.1,2.97,-1
36,1-2,3.51,4.13,0.63,3.82,46.76,-1.89,0.09,49.6,-2.13,0.16,2.85,4.12
36,3-4,3.89,4.01,0.13,3.96,53.7,-2.61,0.07,56.55,-2.85,0.08,2.86,-1
37,1-2,4.99,3.93,1.06,4.46,46.91,4.54,0,49.8,4.37,0.16,2.89,3.83
37,3-4,3.78,3.92,0.14,3.85,53.63,4.46,0.06,56.56,4.58,0.09,2.93,-1
38,1-2,4.01,4.03,0.02,4.01,46.25,10.19,0.19,48.82,10.54,0.17,2.59,4.25
38,3-4,4.18,4.01,0.16,4.09,53.01,11.27,0.13,55.64,11.64,0.21,2.66,-1
39,1-2,4.01,4.12,0.1,4.07,44.77,15.84,0.04,47.17,16.95,0.03,2.64,4.06
39,3-4,4.71,3.98,0.73,4.34,51.08,18.07,0.12,53.75,18.75,0.12,2.76,-1
40,1-2,3.66,3.76,0.1,3.71,42.06,21.74,0.05,44.83,22.93,0.15,3.01,4.06
40,3-4,3.31,4.01,0.7,3.66,48.69,24.19,0.3,51.04,25.54,0.2,2.71,-1
41,1-2,3.64,3.86,0.22,3.75,39.34,26.86,0.05,41.65,28.42,0.19,2.79,4
41,3-4,4.4,3.83,0.56,4.12,45.03,30.56,0.13,47.43,32.04,0.11,2.82,-1
42,1-2,4.68,3.98,0.7,4.33,35.44,32.09,0.02,37.77,33.79,0.04,2.89,4.05
42,3-4,3.54,3.86,0.32,3.7,41.11,36.09,0.19,43.12,37.92,0.2,2.72,-1
43,1-2,3.75,3.93,0.18,3.84,31.52,36.06,0.05,33.17,38.17,0.13,2.68,4.12
43,3-4,4.47,3.89,0.57,4.18,35.94,41.22,0.1,37.83,43.29,0.06,2.8,-1
44,1-2,3.53,3.56,0.03,3.55,26.7,40.01,0.08,28.27,42.2,0.1,2.69,4.24
44,3-4,3.54,3.87,0.33,3.71,30.89,45.54,0.1,32.27,47.87,0.03,2.71,-1
45,1-2,4.09,3.6,0.49,3.84,21.56,43.06,0.07,22.68,45.59,0.26,2.77,4.06
45,3-4,4.17,3.58,0.59,3.88,24.89,49,0.11,25.75,51.63,0,2.77,-1
46,1-2,4.42,3.3,1.12,3.86,15.75,45.5,0.09,16.82,48.26,0.17,2.96,3.93
46,3-4,3.88,3.86,0.02,3.87,18.17,51.96,0.04,18.87,54.58,0.04,2.71,-1
47,1-2,4.21,3.93,0.28,4.07,9.77,47.29,0.12,10.3,49.97,0.09,2.73,4.01
47,3-4,4.18,2.54,1.64,3.36,11.31,53.86,0.02,12.04,56.5,0.15,2.74,-1
48,1-2,3.84,3.2,0.64,3.52,3.89,48.09,0.03,4.37,50.76,0.15,2.71,4.26
48,3-4,4,3.63,0.37,3.82,4.72,55.01,0.02,4.88,57.56,0.1,2.56,-1
