SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
15,1-2,53.41,53.28,53.5,0.21,-47.64,-47.82,-47.52,0.29,56.47,56.39,56.54,0.14,-49.29,-49.37,-49.22,0.14,3.47,3.36,3.6,0.24,5.91,5.77,6.07,0.3
15,3-4,60.37,60.28,60.44,0.15,-53.75,-53.98,-53.66,0.32,63.13,62.78,63.31,0.53,-55.87,-56.07,-55.76,0.31,3.48,3.3,3.61,0.31,0,0,0,0
16,1-2,59.32,59.27,59.43,0.15,-40.14,-40.33,-40.06,0.26,62.43,62.23,62.56,0.33,-41.55,-41.74,-41.44,0.3,3.41,3.32,3.52,0.2,6.03,5.9,6.14,0.23
16,3-4,67.13,67.06,67.2,0.14,-45.34,-45.5,-45.23,0.27,70.09,70,70.2,0.2,-47.29,-47.39,-47.18,0.21,3.54,3.38,3.68,0.3,0,0,0,0
17,1-2,63.93,63.69,64.04,0.35,-32.18,-32.44,-32,0.43,67.55,67.44,67.66,0.21,-32.81,-33.04,-32.63,0.41,3.67,3.49,4,0.5,5.84,5.72,5.94,0.22
17,3-4,72.37,72.28,72.44,0.15,-36.13,-36.27,-35.96,0.31,75.8,75.75,75.84,0.09,-37.26,-37.39,-37.13,0.25,3.61,3.57,3.69,0.12,0,0,0,0
18,1-2,67.88,67.75,68.03,0.28,-23.77,-24.1,-23.27,0.83,71.37,71.26,71.48,0.21,-23.79,-23.9,-23.67,0.22,3.5,3.27,3.59,0.31,5.94,5.78,6.09,0.3
18,3-4,76.67,76.58,76.79,0.21,-26.5,-26.62,-26.4,0.22,80.08,80.04,80.14,0.09,-27.08,-27.16,-26.96,0.19,3.46,3.37,3.6,0.23,0,0,0,0
19,1-2,70.32,70.2,70.43,0.23,-14.95,-15.09,-14.81,0.27,73.85,73.81,73.97,0.15,-14.28,-14.5,-14.14,0.35,3.59,3.5,3.7,0.2,6.08,6,6.17,0.16
19,3-4,79.51,79.45,79.63,0.17,-16.53,-16.67,-16.39,0.27,82.97,82.94,83.03,0.09,-16.44,-16.57,-16.35,0.22,3.47,3.36,3.55,0.18,0,0,0,0
20,1-2,72.36,72.15,72.58,0.42,-5.28,-5.65,-5.05,0.59,75.83,75.59,76,0.4,-4.83,-5.03,-4.59,0.44,3.51,3.37,3.68,0.31,5.03,4.38,5.39,1
20,3-4,80.79,80.34,81.11,0.76,-5.73,-6.06,-5.54,0.51,84.42,84.23,84.61,0.37,-5.36,-5.56,-5.23,0.32,3.65,3.42,4,0.58,0,0,0,0
21,1-2,71.35,71.3,71.5,0.2,4.14,3.97,4.28,0.31,74.55,74.44,74.65,0.21,5.3,5.2,5.43,0.22,3.4,3.29,3.55,0.25,6.02,5.8,6.13,0.33
21,3-4,80.56,80.34,80.78,0.43,4.89,4.74,5.01,0.27,84.14,84.08,84.22,0.14,5.31,5.09,5.44,0.35,3.6,3.36,3.88,0.52,0,0,0,0
22,1-2,70.38,70.3,70.45,0.15,13.25,13.13,13.38,0.25,73.45,73.41,73.5,0.09,14.79,14.61,14.96,0.35,3.44,3.37,3.48,0.1,6.02,5.93,6.14,0.2
22,3-4,79.46,79.39,79.56,0.17,15.26,15.05,15.37,0.31,82.85,82.8,82.91,0.1,16.14,16.04,16.28,0.24,3.49,3.37,3.63,0.25,0,0,0,0
23,1-2,67.95,67.81,68.13,0.31,22.66,22.51,22.79,0.27,71,70.93,71.09,0.15,24.5,24.26,24.6,0.33,3.56,3.49,3.74,0.25,5.81,5.42,6.23,0.81
23,3-4,76.66,76.26,77.13,0.86,25.82,25.33,26.17,0.84,80.24,80.13,80.34,0.21,27.09,26.91,27.26,0.35,3.8,3.58,4.12,0.54,0,0,0,0
24,1-2,64.48,64.43,64.54,0.1,31.11,30.87,31.33,0.45,67.03,66.93,67.18,0.25,33.48,33.22,33.58,0.35,3.48,3.39,3.65,0.25,6.05,5.97,6.2,0.23
24,3-4,72.77,72.7,72.89,0.18,35.43,35.29,35.57,0.27,75.81,75.76,75.9,0.14,37.23,37.18,37.29,0.11,3.53,3.43,3.66,0.23,0,0,0,0
25,1-2,60.31,60.22,60.38,0.16,39.28,39.19,39.36,0.17,62.36,62.28,62.43,0.14,42.2,42.14,42.24,0.1,3.56,3.49,3.65,0.15,6.02,5.95,6.1,0.14
25,3-4,67.82,67.72,67.92,0.2,44.75,44.65,44.85,0.2,70.44,70.38,70.53,0.15,47.15,47.09,47.21,0.11,3.55,3.42,3.67,0.25,0,0,0,0
26,1-2,54.36,54.26,54.52,0.26,47.09,46.98,47.17,0.19,56.4,56.21,56.56,0.35,50.09,50.04,50.23,0.18,3.63,3.55,3.7,0.15,5.75,5.55,5.85,0.29
26,3-4,61.14,60.79,61.3,0.5,53.37,53.24,53.65,0.4,63.74,63.66,63.89,0.23,56.01,55.88,56.12,0.23,3.7,3.59,3.85,0.26,0,0,0,0
27,1-2,47.76,47.66,47.87,0.21,53.57,53.47,53.64,0.17,49.24,49.15,49.34,0.19,56.72,56.61,56.88,0.27,3.48,3.39,3.58,0.18,5.94,5.65,6.06,0.4
27,3-4,53.7,53.52,53.8,0.27,60.64,60.53,60.71,0.17,55.73,55.65,55.92,0.27,63.53,63.36,63.82,0.46,3.52,3.38,3.92,0.54,0,0,0,0
28,1-2,40.79,40.65,40.89,0.23,59.47,59.39,59.62,0.22,41.81,41.48,41.96,0.48,62.84,62.77,63.08,0.3,3.51,3.4,3.66,0.26,5.88,5.57,6.11,0.54
28,3-4,45.64,45.4,45.84,0.44,67.31,67.04,67.45,0.4,47.21,47.15,47.4,0.25,70.49,70.45,70.53,0.07,3.54,3.36,3.94,0.58,0,0,0,0
29,1-2,33.05,32.88,33.2,0.32,65,64.88,65.22,0.34,34.06,33.93,34.34,0.41,68.2,67.97,68.54,0.57,3.36,3.3,3.46,0.16,5.18,4.9,5.64,0.73
29,3-4,36.76,36.49,37.15,0.66,72.63,72.23,72.75,0.51,37.98,37.89,38.04,0.15,75.97,75.72,76.13,0.4,3.55,3.3,3.94,0.64,0,0,0,0
30,1-2,24.02,23.86,24.15,0.28,67.63,67.52,67.76,0.24,23.98,23.82,24.06,0.23,71.15,71.03,71.26,0.23,3.52,3.44,3.63,0.18,5.9,5.75,6.1,0.34
30,3-4,26.67,26.52,26.89,0.37,76.41,76.31,76.51,0.2,27.7,27.56,27.82,0.26,79.74,79.66,79.8,0.14,3.48,3.37,3.61,0.23,0,0,0,0
31,1-2,14.88,14.8,15.08,0.27,70.58,70.51,70.68,0.17,14.57,14.43,14.77,0.33,74.23,74.16,74.3,0.14,3.65,3.52,3.81,0.29,5.77,5.6,5.91,0.31
31,3-4,16.45,16.28,16.61,0.32,79.69,79.61,79.77,0.15,16.72,16.59,16.92,0.33,83.26,83.17,83.41,0.23,3.57,3.49,3.82,0.32,0,0,0,0
32,1-2,5.6,5.22,5.8,0.58,71.8,71.73,71.87,0.14,4.71,4.65,4.92,0.26,75.27,75.2,75.38,0.17,3.58,3.5,3.68,0.18,5.91,5.73,6.06,0.32
32,3-4,6.04,5.85,6.15,0.3,81.04,80.97,81.13,0.15,5.72,5.38,5.92,0.54,84.54,84.45,84.7,0.25,3.51,3.33,3.67,0.33,0,0,0,0
33,1-2,-3.75,-3.94,-3.61,0.33,72.08,71.98,72.15,0.17,-5.05,-5.19,-4.83,0.36,75.39,75.34,75.45,0.11,3.56,3.45,3.67,0.21,5.97,5.76,6.16,0.4
33,3-4,-4.53,-4.76,-4.37,0.39,81.34,81.09,81.45,0.35,-5.3,-5.45,-5.11,0.33,84.84,84.68,84.95,0.26,3.58,3.43,3.82,0.38,0,0,0,0
