630.0, 395.0, -40.0, 40.0
688.0, 399.0, -20.0, 40.0
735.0, 400.0, 0.0, 40.0
793.0, 399.0, 20.0, 40.0
835.0, 402.0, 40.0, 40.0
641.0, 453.0, -40.0, 20.0
690.0, 456.0, -20.0, 20.0
739.0, 458.0, 0.0, 20.0
785.0, 453.0, 20.0, 20.0
847.0, 463.0, 40.0, 20.0
636.0, 508.0, -40.0, 0.0
690.0, 509.0, -20.0, 0.0
741.0, 509.0, 0.0, 0.0
787.0, 509.0, 20.0, 0.0
836.0, 507.0, 40.0, 0.0
636.0, 560.0, -40.0, -20.0
691.0, 563.0, -20.0, -20.0
740.0, 560.0, 0.0, -20.0
789.0, 562.0, 20.0, -20.0
849.0, 563.0, 40.0, -20.0
633.0, 618.0, -40.0, -40.0
688.0, 615.0, -20.0, -40.0
739.0, 620.0, 0.0, -40.0
795.0, 617.0, 20.0, -40.0
845.0, 619.0, 40.0, -40.0
