601.0, 405.0, -109.6, 109.6
671.0, 413.0, -54.8, 109.6
733.0, 415.0, 0.0, 109.6
792.0, 413.0, 54.8, 109.6
864.0, 406.0, 109.6, 109.6
605.0, 452.0, -109.6, 54.8
672.0, 458.0, -54.8, 54.8
731.0, 456.0, 0.0, 54.8
793.0, 460.0, 54.8, 54.8
858.0, 456.0, 109.6, 54.8
606.0, 499.0, -109.6, 0.0
672.0, 500.0, -54.8, 0.0
733.0, 500.0, 0.0, 0.0
792.0, 500.0, 54.8, 0.0
859.0, 500.0, 109.6, 0.0
604.0, 545.0, -109.6, -54.8
671.0, 541.0, -54.8, -54.8
731.0, 537.0, 0.0, -54.8
791.0, 539.0, 54.8, -54.8
858.0, 545.0, 109.6, -54.8
602.0, 594.0, -109.6, -109.6
671.0, 585.0, -54.8, -109.6
730.0, 583.0, 0.0, -109.6
793.0, 588.0, 54.8, -109.6
859.0, 592.0, 109.6, -109.6
