SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
13,3-4,-53.558,-53.91,-53.32,0.58,-0.912666666666667,-1.18,-0.6,0.57,-56.438,-56.69,-56.33,0.35,-1.47133333333333,-1.95,-1.1,0.84,2.95266666666667,2.62,3.24,0.62,0,0,0,0
14,1-2,-46.1506666666667,-46.27,-46.03,0.24,-6.648,-6.85,-6.45,0.39,-48.6226666666667,-48.76,-48.4,0.35,-7.57866666666667,-7.72,-7.4,0.31,2.64333333333333,2.52,2.77,0.25,4.21733333333333,3.95,4.47,0.51
14,3-4,-52.8206666666667,-53.06,-52.62,0.44,-7.98133333333333,-8.29,-7.72,0.56,-55.6133333333333,-55.73,-55.46,0.26,-8.70866666666667,-8.81,-8.55,0.25,2.888,2.68,3.07,0.38,0,0,0,0
15,1-2,-44.758,-44.91,-44.58,0.32,-12.7093333333333,-12.89,-12.52,0.37,-47.114,-47.4,-46.9,0.5,-13.7933333333333,-13.97,-13.56,0.41,2.59866666666667,2.44,2.79,0.35,4.274,3.92,4.56,0.63
15,3-4,-51.262,-51.57,-50.92,0.64,-14.8226666666667,-15.07,-14.59,0.48,-53.934,-54.06,-53.82,0.24,-15.8473333333333,-15.94,-15.6,0.33,2.86666666666667,2.71,3.07,0.35,0,0,0,0
16,1-2,-42.4613333333333,-42.66,-42.29,0.36,-18.4146666666667,-18.52,-18.24,0.28,-44.6566666666667,-44.79,-44.45,0.33,-19.9566666666667,-20.11,-19.7,0.41,2.686,2.48,2.88,0.39,4.18266666666667,3.75,4.68,0.92
16,3-4,-48.592,-48.99,-48.24,0.75,-21.3786666666667,-21.63,-21.16,0.46,-51.1566666666667,-51.38,-51.08,0.3,-22.9026666666667,-23.02,-22.77,0.25,2.988,2.76,3.28,0.52,0,0,0,0
17,1-2,-39.6046666666667,-39.77,-39.5,0.27,-23.8726666666667,-23.97,-23.75,0.21,-41.4993333333333,-41.69,-41.29,0.39,-25.674,-25.81,-25.49,0.32,2.616,2.5,2.81,0.31,4.172,3.91,4.49,0.58
17,3-4,-45.2393333333333,-45.6,-44.83,0.77,-27.5226666666667,-27.71,-27.29,0.42,-47.6166666666667,-47.71,-47.55,0.16,-29.374,-29.49,-29.2,0.28,3.02,2.82,3.29,0.47,0,0,0,0
18,1-2,-35.846,-35.98,-35.57,0.4,-28.7733333333333,-28.85,-28.65,0.2,-37.564,-37.7,-37.34,0.35,-30.9173333333333,-31.06,-30.79,0.26,2.75133333333333,2.57,2.94,0.37,4.11133333333333,3.82,4.36,0.54
18,3-4,-40.9253333333333,-41.32,-40.66,0.66,-33.2813333333333,-33.44,-33.09,0.34,-43.0453333333333,-43.17,-42.98,0.19,-35.388,-35.51,-35.21,0.29,2.996,2.73,3.21,0.48,0,0,0,0
19,1-2,-31.5653333333333,-31.75,-31.33,0.42,-33.3726666666667,-33.48,-33.23,0.25,-33,-33.2,-32.79,0.41,-35.6286666666667,-35.75,-35.43,0.32,2.67733333333333,2.55,2.78,0.23,4.21466666666667,4.05,4.52,0.46
19,3-4,-36.152,-36.57,-35.8,0.77,-38.4273333333333,-38.62,-38.26,0.35,-37.8906666666667,-38.02,-37.8,0.22,-40.7693333333333,-40.9,-40.63,0.26,2.92533333333333,2.74,3.08,0.33,0,0,0,0
20,1-2,-26.7226666666667,-26.87,-26.53,0.33,-37.2633333333333,-37.34,-37.15,0.19,-28.04,-28.19,-27.89,0.3,-39.5613333333333,-39.75,-39.42,0.32,2.65133333333333,2.52,2.82,0.29,4.16266666666667,4.02,4.37,0.35
20,3-4,-30.576,-30.75,-30.39,0.35,-42.8666666666667,-42.96,-42.77,0.18,-32.1446666666667,-32.24,-32.04,0.2,-45.3626666666667,-45.48,-45.28,0.19,2.95,2.75,3.09,0.33,0,0,0,0
21,1-2,-21.476,-21.61,-21.27,0.33,-40.2066666666667,-40.27,-40.12,0.15,-22.2173333333333,-22.34,-22.09,0.25,-42.9246666666667,-43.08,-42.66,0.42,2.81933333333333,2.6,2.96,0.35,4.16066666666667,3.82,4.62,0.8
21,3-4,-24.5786666666667,-25.18,-24.15,1.03,-46.3473333333333,-46.62,-46.15,0.46,-25.6366666666667,-25.75,-25.51,0.23,-49.2086666666667,-49.4,-49.03,0.36,3.06866666666667,2.83,3.35,0.52,0,0,0,0
22,1-2,-15.7073333333333,-15.92,-15.47,0.44,-42.9173333333333,-42.98,-42.81,0.16,-16.1366666666667,-16.32,-15.94,0.38,-45.5506666666667,-45.74,-45.37,0.37,2.67333333333333,2.56,2.82,0.25,4.08533333333333,3.84,4.34,0.5
22,3-4,-17.8813333333333,-18.23,-17.6,0.62,-49.246,-49.37,-49.08,0.28,-18.7206666666667,-18.95,-18.62,0.32,-52.0893333333333,-52.23,-51.92,0.3,2.97066666666667,2.78,3.31,0.53,0,0,0,0
23,1-2,-9.63266666666667,-9.81,-9.43,0.38,-44.6206666666667,-44.68,-44.52,0.15,-9.898,-10.11,-9.75,0.35,-47.218,-47.37,-47.08,0.28,2.61333333333333,2.47,2.73,0.25,4.174,3.92,4.42,0.5
23,3-4,-11.1373333333333,-11.39,-10.91,0.48,-51.2073333333333,-51.34,-51.07,0.27,-11.5573333333333,-11.73,-11.47,0.25,-54.0466666666667,-54.15,-53.92,0.22,2.874,2.71,3.09,0.37,0,0,0,0
24,1-2,-3.66,-3.8,-3.48,0.31,-45.412,-45.48,-45.35,0.12,-3.54666666666667,-3.81,-3.39,0.41,-48.0586666666667,-48.24,-47.88,0.35,2.65266666666667,2.51,2.8,0.29,4.196,3.86,4.47,0.6
24,3-4,-4.15266666666667,-4.53,-3.94,0.59,-52.2106666666667,-52.43,-52.01,0.42,-4.312,-4.49,-4.2,0.29,-55.1246666666667,-55.26,-55.03,0.22,2.924,2.68,3.2,0.52,0,0,0,0
25,1-2,2.56133333333333,2.42,2.65,0.23,-45.598,-45.73,-45.49,0.23,2.92,2.77,3.13,0.35,-48.178,-48.3,-48.02,0.27,2.60866666666667,2.48,2.73,0.25,4.146,4.05,4.35,0.29
25,3-4,2.904,2.74,3.1,0.35,-52.324,-52.46,-52.23,0.23,3.108,2.92,3.22,0.3,-55.2126666666667,-55.31,-55.14,0.17,2.898,2.74,3.04,0.29,0,0,0,0
26,1-2,8.68866666666667,8.56,8.86,0.29,-44.6746666666667,-44.83,-44.53,0.29,9.47866666666667,9.31,9.57,0.25,-47.3766666666667,-47.52,-47.19,0.33,2.81666666666667,2.61,3.01,0.39,4.10933333333333,3.78,4.65,0.87
26,3-4,9.89933333333333,9.49,10.04,0.54,-51.4653333333333,-51.95,-51.17,0.78,10.5633333333333,10.36,10.71,0.35,-54.3946666666667,-54.47,-54.3,0.17,3.01133333333333,2.8,3.3,0.5,0,0,0,0
27,1-2,14.5413333333333,14.42,14.76,0.33,-43.2273333333333,-43.42,-43.08,0.34,15.7546666666667,15.59,16.01,0.42,-45.7026666666667,-45.87,-45.45,0.41,2.76333333333333,2.58,2.95,0.37,4.04733333333333,3.79,4.34,0.54
27,3-4,16.754,16.59,16.94,0.35,-49.6286666666667,-49.85,-49.47,0.38,17.7206666666667,17.56,17.86,0.3,-52.5346666666667,-52.6,-52.48,0.12,3.06333333333333,2.89,3.2,0.31,0,0,0,0
28,1-2,20.336,20.16,20.48,0.32,-40.7666666666667,-40.92,-40.61,0.31,21.9706666666667,21.74,22.08,0.33,-43.266,-43.46,-43.12,0.34,2.98866666666667,2.77,3.18,0.41,4.04733333333333,3.81,4.3,0.48
28,3-4,23.4233333333333,23.1,23.65,0.54,-47.0433333333333,-47.41,-46.81,0.59,24.7553333333333,24.59,24.86,0.26,-49.7286666666667,-49.85,-49.66,0.19,3,2.76,3.19,0.43,0,0,0,0
29,1-2,25.802,25.63,25.91,0.28,-37.9326666666667,-38.12,-37.78,0.33,27.4886666666667,27.39,27.72,0.32,-39.9946666666667,-40.19,-39.8,0.39,2.66666666666667,2.52,2.78,0.25,4.154,3.95,4.4,0.45
29,3-4,29.51,29.4,29.65,0.25,-43.6286666666667,-43.89,-43.43,0.46,31.1993333333333,31.09,31.31,0.21,-46.0433333333333,-46.13,-45.98,0.15,2.94933333333333,2.84,3.13,0.29,0,0,0,0
30,1-2,30.7366666666667,30.61,30.84,0.23,-34.0173333333333,-34.26,-33.73,0.53,32.844,32.74,33,0.25,-36.02,-36.21,-35.85,0.35,2.91,2.7,3.07,0.36,4.026,3.74,4.29,0.54
30,3-4,35.192,35.03,35.48,0.44,-39.2933333333333,-39.47,-39.13,0.33,37.282,37.14,37.46,0.32,-41.558,-41.65,-41.48,0.17,3.084,2.87,3.25,0.37,0,0,0,0
31,1-2,35.158,35.03,35.32,0.28,-29.7393333333333,-29.88,-29.5,0.37,37.3926666666667,37.12,37.54,0.42,-31.4613333333333,-31.67,-31.32,0.35,2.82466666666667,2.52,3.09,0.56,4.072,3.83,4.32,0.49
31,3-4,40.224,40,40.43,0.42,-34.392,-34.62,-34.08,0.53,42.548,42.4,42.76,0.35,-36.338,-36.43,-36.22,0.21,3.03466666666667,2.8,3.24,0.44,0,0,0,0
32,1-2,39.0093333333333,38.87,39.16,0.28,-24.978,-25.1,-24.79,0.31,41.3866666666667,41.25,41.56,0.31,-26.34,-26.54,-26.18,0.35,2.744,2.6,2.9,0.29,4.11,3.95,4.4,0.45
32,3-4,44.6426666666667,44.49,44.73,0.23,-28.8533333333333,-29.2,-28.72,0.48,47.0406666666667,46.89,47.14,0.25,-30.494,-30.6,-30.37,0.23,2.90733333333333,2.75,3.06,0.31,0,0,0,0
33,1-2,42.004,41.85,42.07,0.21,-19.4953333333333,-19.74,-19.12,0.61,44.6486666666667,44.4,44.81,0.41,-20.6,-20.75,-20.44,0.3,2.86933333333333,2.59,3.14,0.55,3.99333333333333,3.73,4.41,0.68
33,3-4,48.0366666666667,47.93,48.16,0.22,-22.7153333333333,-23.24,-22.48,0.75,50.8093333333333,50.65,50.93,0.28,-24.032,-24.11,-23.98,0.12,3.074,2.77,3.29,0.52,0,0,0,0
34,1-2,44.626,44.53,44.7,0.17,-13.9273333333333,-14.03,-13.74,0.28,47.2373333333333,47.08,47.37,0.28,-14.7213333333333,-14.89,-14.54,0.35,2.73,2.6,2.81,0.2,4.002,3.84,4.15,0.31
34,3-4,50.9246666666667,50.79,51.11,0.32,-16.2873333333333,-16.56,-16.16,0.39,53.6713333333333,53.53,53.8,0.26,-17.2073333333333,-17.33,-17.12,0.2,2.90066666666667,2.79,3.04,0.25,0,0,0,0
35,1-2,46.094,46.02,46.18,0.15,-8.234,-8.38,-8.16,0.22,48.798,48.54,49,0.46,-8.342,-8.47,-8.2,0.27,2.70666666666667,2.5,2.85,0.35,4.17,3.92,4.54,0.62
35,3-4,52.8053333333333,52.63,53.07,0.43,-9.50266666666667,-9.84,-9.29,0.55,55.618,55.53,55.72,0.18,-10.0493333333333,-10.16,-9.96,0.19,2.86733333333333,2.6,3.07,0.46,0,0,0,0
36,1-2,46.8166666666667,46.76,46.89,0.13,-1.96066666666667,-2.13,-1.72,0.4,49.5933333333333,49.39,49.86,0.46,-1.96066666666667,-2.13,-1.85,0.27,2.78,2.58,3.04,0.46,4.19733333333333,3.9,4.43,0.52
36,3-4,53.752,53.61,53.83,0.21,-2.56066666666667,-2.73,-2.41,0.31,56.5673333333333,56.43,56.68,0.25,-2.76866666666667,-2.85,-2.68,0.16,2.82333333333333,2.71,2.9,0.18,0,0,0,0
37,1-2,46.9086666666667,46.78,47.06,0.28,4.54733333333333,4.49,4.66,0.16,49.7213333333333,49.61,49.89,0.28,4.51933333333333,4.37,4.64,0.26,2.81266666666667,2.65,3.01,0.35,3.946,3.7,4.2,0.5
37,3-4,53.6673333333333,53.47,53.9,0.42,4.50933333333333,4.26,4.7,0.44,56.588,56.47,56.71,0.24,4.66733333333333,4.54,4.77,0.22,2.92733333333333,2.7,3.2,0.5,0,0,0,0
38,1-2,46.2273333333333,46.11,46.37,0.25,10.3833333333333,10.2,10.47,0.27,48.7813333333333,48.53,48.96,0.42,10.708,10.54,10.89,0.35,2.57533333333333,2.38,2.79,0.41,4.30466666666667,4.13,4.51,0.37
38,3-4,53.034,52.95,53.15,0.19,11.4013333333333,11.24,11.55,0.31,55.668,55.58,55.78,0.2,11.8566666666667,11.64,11.98,0.33,2.676,2.59,2.79,0.2,0,0,0,0
39,1-2,44.7633333333333,44.53,44.94,0.4,15.8813333333333,15.75,16.02,0.26,47.1386666666667,46.99,47.25,0.25,16.9393333333333,16.81,17.06,0.25,2.602,2.5,2.7,0.2,4.22,4.04,4.4,0.36
39,3-4,51.19,51.05,51.34,0.29,18.1313333333333,18.03,18.24,0.2,53.7653333333333,53.69,53.89,0.2,18.8746666666667,18.65,19.05,0.4,2.684,2.53,2.88,0.35,0,0,0,0
40,1-2,42.112,41.98,42.33,0.35,21.7633333333333,21.61,21.86,0.25,44.69,44.51,44.99,0.48,22.9993333333333,22.76,23.21,0.44,2.86266666666667,2.65,3.12,0.47,4.16066666666667,3.9,4.42,0.52
40,3-4,48.5813333333333,48.4,48.78,0.38,24.474,24.19,24.77,0.57,51.0506666666667,50.99,51.11,0.11,25.7433333333333,25.54,25.88,0.33,2.78133333333333,2.68,2.88,0.19,0,0,0,0
41,1-2,39.3826666666667,39.27,39.59,0.32,26.888,26.78,26.96,0.17,41.488,41.24,41.65,0.4,28.5246666666667,28.38,28.7,0.32,2.67066666666667,2.48,2.87,0.39,4.21333333333333,4,4.55,0.54
41,3-4,45.1586666666667,44.96,45.64,0.67,30.5953333333333,30.41,30.9,0.48,47.4426666666667,47.38,47.5,0.11,32.156,31.94,32.35,0.41,2.772,2.58,2.9,0.31,0,0,0,0
42,1-2,35.4206666666667,35.23,35.53,0.3,32.102,32.04,32.22,0.17,37.7666666666667,37.57,37.95,0.38,33.832,33.64,33.97,0.32,2.918,2.73,3.08,0.35,4.01733333333333,3.85,4.18,0.32
42,3-4,40.9826666666667,40.82,41.18,0.35,36.2433333333333,36.08,36.52,0.44,43.0393333333333,42.91,43.15,0.24,38.1033333333333,37.92,38.38,0.46,2.77933333333333,2.62,2.89,0.27,0,0,0,0
43,1-2,31.4893333333333,31.32,31.69,0.37,36.106,36.04,36.2,0.16,33.0613333333333,32.87,33.39,0.52,38.2513333333333,37.99,38.51,0.51,2.662,2.47,2.92,0.44,4.224,3.89,4.53,0.64
43,3-4,36.0473333333333,35.91,36.32,0.41,41.2413333333333,41.12,41.36,0.24,37.8446666666667,37.7,38,0.29,43.35,43.15,43.49,0.34,2.77266666666667,2.67,2.93,0.26,0,0,0,0
44,1-2,26.6406666666667,26.54,26.73,0.19,40.0746666666667,40.01,40.16,0.14,28.1773333333333,27.98,28.39,0.41,42.244,42.13,42.41,0.27,2.65933333333333,2.46,2.89,0.43,4.26,4,4.44,0.44
44,3-4,30.8053333333333,30.69,31,0.3,45.602,45.53,45.72,0.18,32.276,32.15,32.41,0.25,47.9013333333333,47.76,48.02,0.26,2.73,2.62,2.86,0.23,0,0,0,0
45,1-2,21.4866666666667,21.34,21.68,0.33,43.0653333333333,43,43.15,0.14,22.4386666666667,22.26,22.68,0.41,45.474,45.2,45.71,0.5,2.59333333333333,2.46,2.77,0.31,4.31666666666667,4.06,4.45,0.39
45,3-4,24.8066666666667,24.53,25.21,0.67,49.0833333333333,49,49.17,0.17,25.7526666666667,25.66,25.95,0.28,51.6353333333333,51.47,51.81,0.34,2.72933333333333,2.54,2.93,0.39,0,0,0,0
46,1-2,15.654,15.47,15.81,0.33,45.4826666666667,45.36,45.61,0.25,16.648,16.5,16.84,0.33,48.3053333333333,48.02,48.51,0.48,2.994,2.76,3.26,0.5,3.93533333333333,3.7,4.24,0.54
46,3-4,18.124,17.93,18.3,0.37,51.9566666666667,51.89,52.08,0.18,18.8686666666667,18.78,19.04,0.25,54.6273333333333,54.57,54.69,0.11,2.77333333333333,2.7,2.9,0.19,0,0,0,0
47,1-2,9.87466666666667,9.75,10.04,0.28,47.2186666666667,47.13,47.29,0.15,10.27,10.09,10.48,0.39,49.8806666666667,49.52,50.03,0.5,2.69333333333333,2.39,2.85,0.46,4.12733333333333,4.01,4.36,0.35
47,3-4,11.2986666666667,10.96,11.54,0.57,53.8806666666667,53.73,54.02,0.29,11.888,11.68,12.04,0.35,56.5273333333333,56.44,56.66,0.21,2.71866666666667,2.5,2.86,0.35,0,0,0,0
48,1-2,3.912,3.78,4.02,0.23,48.068,48.01,48.12,0.1,4.22466666666667,3.92,4.42,0.5,50.7006666666667,50.5,50.83,0.32,2.65133333333333,2.44,2.84,0.39,4.308,4.18,4.44,0.26
48,3-4,4.716,4.36,4.93,0.56,54.982,54.89,55.09,0.2,4.94866666666667,4.73,5.11,0.37,57.6366666666667,57.51,57.8,0.28,2.67133333333333,2.56,2.79,0.23,0,0,0,0
