SLOT,LAYER,AX_AVG,AX_MIN,AX_MAX,AX_ABS,AY_AVG,AY_MIN,AY_MAX,AY_ABS,BX_AVG,BX_MIN,BX_MAX,BX_ABS,BY_AVG,BY_MIN,BY_MAX,BY_ABS,C_AVG,C_MIN,C_MAX,C_ABS,JUMP_AVG,JUMP_MIN,JUMP_MAX,JUMP_ABS
16,1-2,-41.94,-42.05,-41.84,0.2,-18.5,-18.75,-18.39,0.35,-44.26,-44.53,-44.15,0.38,-19.77,-19.92,-19.59,0.33,2.65,2.57,2.82,0.25,4.54,4.3,4.75,0.44
16,3-4,-48.53,-49,-48.24,0.75,-21.33,-21.67,-20.99,0.68,-50.96,-51.13,-50.87,0.26,-22.9,-23.13,-22.82,0.3,2.91,2.75,3.18,0.43,0,0,0,0
17,1-2,-39.03,-39.13,-38.89,0.24,-23.92,-24.13,-23.83,0.3,-41.24,-41.39,-41.13,0.25,-25.49,-25.77,-25.18,0.58,2.71,2.59,2.93,0.34,4.54,4.36,4.9,0.54
17,3-4,-45.26,-45.59,-45.03,0.56,-27.62,-27.96,-27.34,0.62,-47.49,-47.65,-47.36,0.28,-29.43,-29.6,-29.33,0.27,2.88,2.8,3.09,0.29,0,0,0,0
18,1-2,-35.36,-35.54,-35.21,0.32,-28.65,-28.86,-28.56,0.3,-37.21,-37.43,-37.11,0.32,-30.57,-30.7,-30.22,0.48,2.66,2.48,2.77,0.29,4.6,4.46,4.79,0.33
18,3-4,-41.02,-41.25,-40.57,0.67,-33.15,-33.45,-32.97,0.47,-42.94,-43.1,-42.85,0.25,-35.28,-35.42,-35.11,0.3,2.88,2.68,3.17,0.48,0,0,0,0
19,1-2,-31.08,-31.16,-30.99,0.17,-33.2,-33.33,-33.04,0.28,-32.76,-32.96,-32.65,0.31,-35.29,-35.47,-34.93,0.54,2.68,2.52,2.92,0.39,4.58,4.26,4.86,0.59
19,3-4,-36.07,-36.45,-35.9,0.55,-38.47,-38.67,-38.22,0.44,-37.84,-37.97,-37.76,0.21,-40.69,-40.86,-40.58,0.28,2.84,2.76,2.96,0.2,0,0,0,0
20,1-2,-26.35,-26.47,-26.21,0.25,-36.96,-37.1,-36.86,0.24,-27.88,-28.03,-27.57,0.46,-39.14,-39.4,-38.77,0.62,2.66,2.56,2.8,0.23,4.55,4.18,5.05,0.87
20,3-4,-30.63,-31.08,-30.18,0.89,-42.77,-42.94,-42.52,0.41,-32.07,-32.21,-31.96,0.25,-45.34,-45.52,-45.25,0.27,2.95,2.76,3.29,0.53,0,0,0,0
21,1-2,-21.04,-21.11,-20.9,0.21,-40.02,-40.15,-39.79,0.35,-22.01,-22.14,-21.9,0.24,-42.58,-42.88,-42.27,0.6,2.73,2.56,3.03,0.46,4.55,4.22,4.8,0.58
