SLOT,LAYER,1H,2H,3H,4H,AX,AY,INNER_R,BX,BY,OUTER_R,C,JUMP
29,1-2,4.51,5.27,0.76,4.88,33.04,65,0,33.89,68.45,0.3,3.56,5.25
29,3-4,4.7,4.61,0.09,4.66,36.82,72.81,0.18,37.95,76.06,0.09,3.44,-1
30,1-2,4.48,4.86,0.38,4.67,23.82,67.75,0.23,24,71.22,0.07,3.47,5.84
30,3-4,4.29,4.87,0.57,4.58,26.66,76.42,0.01,27.63,79.73,0.07,3.46,-1
31,1-2,4.29,3.71,0.57,4,14.92,70.64,0.07,14.82,74.2,0.25,3.57,5.7
31,3-4,4.53,4.01,0.52,4.26,16.5,79.65,0.06,16.64,83.34,0.11,3.69,-1
32,1-2,4.25,3.87,0.38,4.05,5.65,71.9,0.11,4.86,75.34,0.16,3.53,5.83
32,3-4,4.37,4.32,0.05,4.34,5.97,81.06,0.07,5.81,84.56,0.09,3.49,-1
33,1-2,4.32,3.89,0.43,4.11,-3.8,72.16,0.09,-4.98,75.48,0.11,3.53,5.86
33,3-4,4.24,4.24,0,4.24,-4.5,81.33,0.03,-5.28,84.9,0.06,3.65,-1
34,1-2,4.19,4.26,0.07,4.22,-13.07,71.03,0.18,-14.67,74.14,0.12,3.5,5.84
34,3-4,4.34,4.07,0.28,4.21,-15.17,79.95,0.07,-16.3,83.33,0.07,3.56,-1
35,1-2,4.09,4.34,0.25,4.22,-22.15,68.63,0.06,-24.26,71.48,0.07,3.55,5.87
35,3-4,4.17,3.82,0.35,4,-25.26,77.27,0.07,-26.94,80.51,0.05,3.65,-1
36,1-2,4.03,4.34,0.31,4.19,-30.99,65.23,0.09,-33.39,67.8,0.04,3.52,5.96
36,3-4,4.08,3.93,0.15,4.01,-35.07,73.52,0.09,-37.08,76.56,0.17,3.65,-1
37,1-2,3.93,4.38,0.45,4.16,-39.15,60.62,0.03,-41.79,62.95,0.12,3.51,5.9
37,3-4,4.01,4.2,0.18,4.11,-44.46,68.22,0.07,-46.74,70.98,0.06,3.59,-1
38,1-2,3.85,4.41,0.56,4.13,-46.71,55.07,0.06,-49.59,56.93,0.12,3.43,5.91
38,3-4,4.05,4,0.06,4.03,-52.94,61.81,0.05,-55.61,64.2,0.04,3.58,-1
39,1-2,3.82,4.44,0.62,4.13,-53.54,48.43,0.09,-56.64,50.02,0.28,3.48,5.79
39,3-4,3.88,3.86,0.02,3.87,-60.52,54.33,0.08,-63.41,56.45,0.06,3.58,-1
40,1-2,3.83,4.41,0.57,4.12,-59.32,40.97,0.1,-62.61,42.03,0.05,3.46,5.89
40,3-4,3.78,3.75,0.03,3.76,-66.98,45.99,0.01,-70.18,47.61,0.09,3.59,-1
41,1-2,3.86,4.09,0.24,3.98,-64.28,32.78,0.12,-67.72,33.49,0.03,3.51,5.81
41,3-4,3.8,3.64,0.16,3.72,-72.41,36.92,0.13,-75.76,38.11,0.1,3.56,-1
42,1-2,4.18,4.13,0.05,4.15,-67.98,23.99,0.06,-71.34,24.56,0.21,3.41,5.89
42,3-4,3.68,3.67,0.01,3.67,-76.73,26.93,0.11,-80.12,27.82,0.05,3.5,-1
43,1-2,5.73,3.71,2.02,4.72,-70.69,14.68,0.39,-74,14.97,0.12,3.32,5.7
43,3-4,2.74,3.45,0.71,3.1,-79.42,16.76,0.16,-83.08,17.27,0.14,3.7,-1
44,1-2,6.03,3.83,2.2,4.93,-71.84,5.41,0.02,-75.26,5.18,0.1,3.42,5.84
44,3-4,3.05,3.4,0.35,3.22,-80.98,6.37,0.13,-84.49,6.17,0.05,3.52,-1
45,1-2,4.23,3.71,0.52,3.97,-71.88,-3.83,0.24,-75.34,-4.75,0.05,3.59,5.6
45,3-4,3.94,3.37,0.56,3.66,-80.94,-4.42,0.07,-84.77,-4.94,0.12,3.87,-1
46,1-2,4.18,3.91,0.27,4.05,-70.63,-13.15,0.27,-73.79,-14.35,0.1,3.38,5.81
46,3-4,4.12,3.29,0.83,3.71,-79.56,-14.94,0.17,-83,-15.9,0.08,3.56,-1
47,1-2,3.95,3.72,0.23,3.84,-68.12,-21.99,0.26,-71.44,-23.84,0.26,3.8,5.84
47,3-4,3.64,3.25,0.39,3.45,-77.12,-25.22,0.08,-80.37,-26.42,0.29,3.46,-1
48,1-2,4.46,3.79,0.67,4.13,-64.65,-31.03,0.06,-67.52,-33.24,0.13,3.62,5.55
48,3-4,3.61,3.21,0.4,3.41,-72.78,-35.04,0.22,-76.05,-36.82,0.13,3.72,-1
